,type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.hr_20,attributes.in_game,attributes.is_live,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_display_name,attributes.stat_type,attributes.status,attributes.today,attributes.tv_channel,attributes.updated_at,relationships.duration.data.type,relationships.duration.data.id,relationships.game.data.type,relationships.game.data.id,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.score.data,relationships.stat_type.data.type,relationships.stat_type.data.id,relationships.stat_average.data.type,relationships.stat_average.data.id,attributes.trending_count,type_new_player,id_new_player,attributes.combo,attributes.display_name,attributes.image_url,attributes.league,attributes.league_id,attributes.name,attributes.position,attributes.team,relationships.league.data.type_new_player,relationships.league.data.id_new_player,relationships.team_data.data.type,relationships.team_data.data.id
872,projection,3975942,True,2025-02-26T16:15:00-05:00,,HOU,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,10.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,Rebs+Asts,Rebs+Asts,pre_game,True,,2025-02-26T16:53:46-05:00,duration,11,game,49656,league,7,new_player,87612,projection_type,2,,stat_type,245,stat_average,80808,,new_player,87612,False,Jeremy Sochan,https://static.prizepicks.com/images/players/NBA/Jeremy_Sochan_NBA_player_WpK4WnLbryXQH7DdJteCzjcl.webp,NBA,7.0,Jeremy Sochan,F,SAS,league,7,team,870
873,projection,3973193,True,2025-02-26T10:30:00-05:00,,SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,7.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,Rebounds,Rebounds,pre_game,True,,2025-02-26T10:40:39-05:00,duration,11,game,49656,league,7,new_player,79867,projection_type,2,,stat_type,22,stat_average,75496,,new_player,79867,False,Jabari Smith Jr.,https://static.prizepicks.com/images/players/NBA/Jabari_Smith_NBA_player_ci1Do1I1DugpXxHkdZW3pTYE.webp,NBA,7.0,Jabari Smith Jr.,F,HOU,league,7,team,209
874,projection,3973291,True,2025-02-26T10:30:00-05:00,,SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,0.5,goblin,Single Stat,475,True,2025-02-26T21:40:00-05:00,Turnovers,Turnovers,pre_game,True,,2025-02-26T10:43:22-05:00,duration,11,game,49656,league,7,new_player,173587,projection_type,2,,stat_type,24,stat_average,85870,,new_player,173587,False,Dillon Brooks,https://static.prizepicks.com/images/players/NBA/Dillon_Brooks_NBA_player_doYyaSQoRd6hmm42xjHs1oP.webp,NBA,7.0,Dillon Brooks,G-F,HOU,league,7,team,209
875,projection,3973286,True,2025-02-26T10:30:00-05:00,,SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,2.5,goblin,Single Stat,475,True,2025-02-26T21:40:00-05:00,Rebounds,Rebounds,pre_game,True,,2025-02-26T11:01:40-05:00,duration,11,game,49656,league,7,new_player,173587,projection_type,2,,stat_type,22,stat_average,75492,,new_player,173587,False,Dillon Brooks,https://static.prizepicks.com/images/players/NBA/Dillon_Brooks_NBA_player_doYyaSQoRd6hmm42xjHs1oP.webp,NBA,7.0,Dillon Brooks,G-F,HOU,league,7,team,209
876,projection,3973285,True,2025-02-26T10:30:00-05:00,,SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,19.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,Points,Points,pre_game,True,,2025-02-26T10:42:24-05:00,duration,11,game,49656,league,7,new_player,173587,projection_type,2,,stat_type,19,stat_average,75461,,new_player,173587,False,Dillon Brooks,https://static.prizepicks.com/images/players/NBA/Dillon_Brooks_NBA_player_doYyaSQoRd6hmm42xjHs1oP.webp,NBA,7.0,Dillon Brooks,G-F,HOU,league,7,team,209
877,projection,3973284,True,2025-02-26T10:30:00-05:00,,SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,9.5,goblin,Single Stat,475,True,2025-02-26T21:40:00-05:00,Points,Points,pre_game,True,,2025-02-26T10:34:52-05:00,duration,11,game,49656,league,7,new_player,173587,projection_type,2,,stat_type,19,stat_average,75461,,new_player,173587,False,Dillon Brooks,https://static.prizepicks.com/images/players/NBA/Dillon_Brooks_NBA_player_doYyaSQoRd6hmm42xjHs1oP.webp,NBA,7.0,Dillon Brooks,G-F,HOU,league,7,team,209
878,projection,3973279,True,2025-02-26T10:30:00-05:00,,SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,2.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,3-PT Made,3-PT Made,pre_game,True,,2025-02-26T10:34:19-05:00,duration,11,game,49656,league,7,new_player,173587,projection_type,2,,stat_type,31,stat_average,75509,,new_player,173587,False,Dillon Brooks,https://static.prizepicks.com/images/players/NBA/Dillon_Brooks_NBA_player_doYyaSQoRd6hmm42xjHs1oP.webp,NBA,7.0,Dillon Brooks,G-F,HOU,league,7,team,209
879,projection,3973278,True,2025-02-26T10:30:00-05:00,,SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,1.5,goblin,Single Stat,475,True,2025-02-26T21:40:00-05:00,3-PT Made,3-PT Made,pre_game,True,,2025-02-26T10:31:58-05:00,duration,11,game,49656,league,7,new_player,173587,projection_type,2,,stat_type,31,stat_average,75509,,new_player,173587,False,Dillon Brooks,https://static.prizepicks.com/images/players/NBA/Dillon_Brooks_NBA_player_doYyaSQoRd6hmm42xjHs1oP.webp,NBA,7.0,Dillon Brooks,G-F,HOU,league,7,team,209
880,projection,3975894,True,2025-02-26T16:15:00-05:00,,HOU,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,9.5,goblin,Single Stat,475,True,2025-02-26T21:40:00-05:00,Pts+Rebs,Pts+Rebs,pre_game,True,,2025-02-26T17:24:16-05:00,duration,11,game,49656,league,7,new_player,216783,projection_type,2,,stat_type,243,stat_average,76642,,new_player,216783,False,Chris Paul,https://static.prizepicks.com/images/players/NBA/Chris_Paul_NBA_player_xnnnxF433w5OotMNXqicpZRd.webp,NBA,7.0,Chris Paul,G,SAS,league,7,team,870
881,projection,3973249,True,2025-02-26T10:30:00-05:00,,HOU,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,17.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,Points,Points,pre_game,True,,2025-02-26T15:41:36-05:00,duration,11,game,49656,league,7,new_player,216785,projection_type,2,,stat_type,19,stat_average,76565,,new_player,216785,False,Harrison Barnes,https://static.prizepicks.com/images/players/NBA/Harrison_Barnes_NBA_player_NxgbiOU6g5Hc0DdAGoPw2vGN.webp,NBA,7.0,Harrison Barnes,F,SAS,league,7,team,870
882,projection,3973253,True,2025-02-26T10:30:00-05:00,,HOU,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,1.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,Steals,Steals,pre_game,True,,2025-02-26T13:06:53-05:00,duration,11,game,49656,league,7,new_player,216785,projection_type,2,,stat_type,23,stat_average,81403,,new_player,216785,False,Harrison Barnes,https://static.prizepicks.com/images/players/NBA/Harrison_Barnes_NBA_player_NxgbiOU6g5Hc0DdAGoPw2vGN.webp,NBA,7.0,Harrison Barnes,F,SAS,league,7,team,870
883,projection,3975943,True,2025-02-26T16:15:00-05:00,,HOU,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,11.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,Rebs+Asts,Rebs+Asts,pre_game,True,,2025-02-26T18:22:01-05:00,duration,11,game,49656,league,7,new_player,87612,projection_type,2,,stat_type,245,stat_average,80808,,new_player,87612,False,Jeremy Sochan,https://static.prizepicks.com/images/players/NBA/Jeremy_Sochan_NBA_player_WpK4WnLbryXQH7DdJteCzjcl.webp,NBA,7.0,Jeremy Sochan,F,SAS,league,7,team,870
